Symbol,TF,Return %,Sharpe,Sortino,Max DD %,Win Rate,PF,Trades,Calmar
SOLUSDT,15m,-649.14,-0.521,-0.249,588.95,23.3,0.47,537,-1.102
SOLUSDT,30m,-485.97,-0.272,-0.109,447.43,15.6,0.44,326,-1.086
SOLUSDT,45m,-447.12,0.046,0.021,458.91,11.3,0.4,266,-0.974
SOLUSDT,1h,-472.63,-0.79,-0.251,472.63,10.1,0.31,237,-1.0
SOLUSDT,2h,-99.23,-0.835,-0.605,99.23,15.3,0.69,111,-1.0
SOLUSDT,3h,-197.85,-0.319,-0.14,197.85,5.9,0.24,85,-1.0
SOLUSDT,4h,-103.74,0.217,0.323,103.74,7.8,0.32,51,-1.0
ETHUSDT,15m,-381.54,-0.408,-0.215,321.4,26.7,0.63,480,-1.187
ETHUSDT,30m,-291.82,-0.716,-0.291,257.73,20.4,0.58,270,-1.132
ETHUSDT,45m,-244.47,-0.628,-0.242,224.34,17.5,0.64,246,-1.09
ETHUSDT,1h,-320.83,-0.482,-0.176,334.35,13.4,0.43,201,-0.96
ETHUSDT,2h,-240.93,0.664,1.628,240.93,6.0,0.2,100,-1.0
ETHUSDT,3h,-240.77,0.627,0.628,240.77,4.4,0.13,90,-1.0
ETHUSDT,4h,-260.02,0.075,0.026,260.02,0.0,0.0,81,-1.0
