Coin,TF,#,EntryUTC,Direction,EntryPrice,ExitPrice,ExitType,PnL%,Regime,ADX,RSI,ExitUTC
SOL,29M,1,2026-03-08 16:30,SHORT,81.4740,83.1035,SL,-2.00,TREND,36.0,43.7,2026-03-09 00:30
SOL,29M,2,2026-03-09 19:00,LONG,86.8600,85.1228,SL,-2.00,TREND,26.6,53.7,2026-03-09 23:30
SOL,29M,3,2026-03-13 12:30,LONG,90.9530,89.1339,SL,-2.00,TREND,39.5,56.6,2026-03-13 16:00
SOL,29M,4,2026-03-13 18:30,SHORT,88.7570,90.5321,SL,-2.00,TREND,28.4,52.4,2026-03-15 22:00
SOL,29M,5,2026-03-16 03:30,LONG,93.1190,91.2566,SL,-2.00,TREND,44.7,58.9,2026-03-18 12:30
SOL,29M,6,2026-03-19 03:00,LONG,91.2300,89.4054,SL,-2.00,TREND,28.3,49.3,2026-03-19 07:00
SOL,29M,7,2026-03-19 07:30,SHORT,89.3700,91.1574,SL,-2.00,TREND,25.1,46.5,2026-03-23 11:00
SOL,29M,8,2026-03-23 13:30,LONG,91.2860,89.4603,SL,-2.00,TREND,32.3,54.3,2026-03-23 16:30
SOL,29M,9,2026-03-23 17:30,LONG,91.2110,89.3868,SL,-2.00,TREND,36.6,53.7,2026-03-24 14:00
SOL,29M,10,2026-03-24 15:00,SHORT,89.8790,91.6766,SL,-2.00,TREND,26.0,50.6,2026-03-25 03:30
SOL,29M,11,2026-03-25 04:30,LONG,92.0110,90.1708,SL,-2.00,TREND,27.4,54.0,2026-03-26 05:00
SOL,29M,12,2026-03-26 07:00,SHORT,88.9300,80.0370,TP,+10.00,TREND,34.3,47.2,2026-03-29 22:30
SOL,29M,13,2026-03-29 23:30,SHORT,81.3630,82.5738,SL,-1.49,TREND,27.1,43.1,2026-03-30 00:00
SOL,29M,14,2026-03-30 17:00,SHORT,83.3240,84.9905,SL,-2.00,TREND,25.7,48.2,2026-04-01 16:30
SOL,29M,15,2026-04-03 11:30,LONG,80.1330,78.5632,SL,-1.96,TREND,27.0,48.0,2026-04-05 13:00
SOL,29M,16,2026-04-05 15:00,LONG,79.9430,78.3441,SL,-2.00,TREND,30.8,48.4,2026-04-07 14:00
SOL,29M,17,2026-04-07 14:30,SHORT,78.5400,78.5020,OPEN,+0.05,TREND,32.5,44.9,2026-04-07 15:00
